User,Project,Project URL,Stars,Description
ljianshu,Blog,https://github.com/ljianshu/Blog,7900,关注基础知识，打造优质前端博客，公众号[前端工匠]的作者
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7400,📜 Automatically add next page
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,6800,Interactive Tables and Data Grids for JavaScript
developit,unfetch,https://github.com/developit/unfetch,5700,🐕 Bare minimum 500b fetch polyfill.
jquery-form,form,https://github.com/jquery-form/form,5200,jQuery Form Plugin
elbywan,wretch,https://github.com/elbywan/wretch,4900,A tiny wrapper built around fetch with an intuitive syntax. 🍬
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4700,"📁 Open-source file manager for web, written in JavaScript using jQuery and jQuery UI"
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3200,"📧 An Example of using an HTML form (e.g: ""Contact Us"" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data."
alovajs,alova,https://github.com/alovajs/alova,3000,"Workflow-Streamlined next-generation request tools. Extremely streamline API integration workflow, just one step"
ded,reqwest,https://github.com/ded/reqwest,2900,browser asynchronous http requests
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2600,Intercepting browser's http requests which made by XMLHttpRequest.
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2400,Blissful JavaScript
noelboss,featherlight,https://github.com/noelboss/featherlight,2100,"Featherlight is a very lightweight jQuery lightbox plugin. It's simple yet flexible and easy to use. Featherlight has minimal css and uses no inline styles, everything is name-spaced, it's completely customizable via config object and offers image, ajax and iframe support out of the box. Featherlights small footprint weights about 4kB – in total."
k8w,tsrpc,https://github.com/k8w/tsrpc,1900,"A TypeScript RPC framework, with runtime type checking and serialization, support both HTTP and WebSocket. It is very suitable for website / APP / games, and absolutely comfortable to full-stack TypeScript developers."
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1900,"A multipurpose plugin for alert, confirm & dialog, with extended features."
nette,tracy,https://github.com/nette/tracy,1800,"😎 Tracy: the addictive tool to ease debugging PHP code for cool developers. Friendly design, logging, profiler, advanced features like debugging AJAX calls or CLI support. You will love it."
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1700,"small, elegant pure css spinner for ajax or loading animation"
taoensso,sente,https://github.com/taoensso/sente,1700,Realtime web comms library for Clojure/Script
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1600,"We're going to take you step-by-step to build a modern, fully open-source, eCommerce web application using Python, Django, Bootstrap, Javascript, and more."
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1600,🦄 The Enterprise™ programming language
