User,Project,Project URL,Stars,Description
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,309000,A complete computer science study plan to become a software engineer.
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,196000,All Algorithms implemented in Python
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,189000,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,178000,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,120000,💯 Curated coding interview preparation materials for busy software engineers
krahets,hello-algo,https://github.com/krahets/hello-algo,104000,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing"
kdn251,interviews,https://github.com/kdn251/interviews,63800,Everything you need to know to get the job.
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,60400,All Algorithms implemented in Java
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54900,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。)
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,52900,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,46900,🎆Interactive Online Platform that Visualizes Algorithms from Code
huihut,interview,https://github.com/huihut/interview,35100,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…"
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33200,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解"
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,32700,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices."
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31000,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes."
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,29700,120+ interactive Python coding interview challenges (algorithms and data structures). Includes Anki flashcards.
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27100,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm"
keon,algorithms,https://github.com/keon/algorithms,24200,Minimal examples of data structures and algorithms in Python
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,23900,Python sample codes for robotics algorithms.
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23500,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics
