User,Project,Project URL,Stars,Description
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112000,📚 免费的计算机编程类中文书籍，欢迎投稿
angular,angular,https://github.com/angular/angular,96500,Deliver web apps with confidence 🚀
storybookjs,storybook,https://github.com/storybookjs/storybook,85000,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,64300,📜 33 JavaScript concepts every developer should know.
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,51200,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript."
prettier,prettier,https://github.com/prettier/prettier,49700,Prettier is an opinionated code formatter.
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,43600,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days, please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,35300,📗 SheetJS Spreadsheet Data Toolkit -- New home https://git.sheetjs.com/SheetJS/sheetjs
angular,angular-cli,https://github.com/angular/angular-cli,26800,CLI tool for Angular
wailsapp,wails,https://github.com/wailsapp/wails,26100,Create beautiful applications using Go
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,24600,List of 1000 JavaScript Interview Questions
angular,components,https://github.com/angular/components,24400,Component infrastructure and Material Design components for Angular
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,24400,"⚡ Empowering JavaScript with native platform APIs. ✨ Best of all worlds (TypeScript, Swift, Objective C, Kotlin, Java, Dart). Use what you love ❤️ Angular, Capacitor, Ionic, React, Solid, Svelte, Vue with: iOS (UIKit, SwiftUI), Android (View, Jetpack Compose), Dart (Flutter) and you name it compatible."
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,24200,📗🌐 🚢 Comprehensive and exhaustive JavaScript & Node.js testing best practices (July 2023)
nrwl,nx,https://github.com/nrwl/nx,24100,"Build system, optimized for monorepos, with plugins for popular frameworks and tools and advanced CI capabilities including caching and distribution."
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,23400,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents"
pubkey,rxdb,https://github.com/pubkey/rxdb,21700,"A fast, local first, reactive Database for JavaScript Applications https://rxdb.info/"
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21700,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures."
teambit,bit,https://github.com/teambit/bit,18000,A build system for development of composable software.
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,17500,"✨ A beautiful, responsive, highly customizable and accessible (WAI-ARIA) replacement for JavaScript's popup boxes. Zero dependencies. 🇺🇦"
