User,Project,Project URL,Stars,Description
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,67100,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
ansible,ansible,https://github.com/ansible/ansible,63500,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
trailofbits,algo,https://github.com/trailofbits/algo,29100,Set up a personal VPN in the cloud
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,27400,"This repository started out as a learning in public project for myself and has now become a structured learning map for many in the community. We have 3 years under our belt covering all things DevOps, including Principles, Processes, Tooling and Use Cases surrounding this vast topic."
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23200,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists."
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,16300,Deploy a Production Ready Kubernetes Cluster
ansible,awx,https://github.com/ansible/awx,14200,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform."
semaphoreui,semaphore,https://github.com/semaphoreui/semaphore,10900,"Modern UI and powerful API for Ansible, Terraform, OpenTofu, PowerShell and other DevOps tools."
easzlab,kubeasz,https://github.com/easzlab/kubeasz,10600,使用Ansible脚本安装K8S集群，介绍组件交互原理，方便直接，不受国内网络环境影响
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,9500,Your favorite operating systems in one place. A network-based bootable operating system installer based on iPXE.
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,8600,Ansible for DevOps examples.
khuedoan,homelab,https://github.com/khuedoan/homelab,8300,Fully automated homelab from empty disk to running services with a single command.
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,8300,DevOps Guide - Development to Production all configurations with basic notes to debug efficiently.
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,6100,Mac setup and configuration via Ansible.
Orange-Cyberdefense,GOAD,https://github.com/Orange-Cyberdefense/GOAD,5700,game of active directory
rundeck,rundeck,https://github.com/rundeck/rundeck,5600,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts"
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,5000,KubeOperator 是一个开源的轻量级 Kubernetes 发行版，专注于帮助企业规划、部署和运营生产级别的 K8s 集群。
ChristianLempa,boilerplates,https://github.com/ChristianLempa/boilerplates,4900,"This is my personal template collection. Here you'll find templates, and configurations for various tools, and technologies."
clong,DetectionLab,https://github.com/clong/DetectionLab,4700,Automate the creation of a lab environment complete with security tooling and logging best practices
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,4100,"This Ansible collection provides battle tested hardening for Linux, SSH, nginx, MySQL"
