User,Project,Project URL,Stars,Description
sindresorhus,awesome,https://github.com/sindresorhus/awesome,339000,😎 Awesome lists about all kinds of interesting topics
vinta,awesome-python,https://github.com/vinta/awesome-python,229000,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,210000,A list of Free Software network services and web applications which can be hosted on your own servers
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,153000,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
avelino,awesome-go,https://github.com/avelino/awesome-go,135000,"A curated list of awesome Go frameworks, libraries and software"
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,96700,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,89400,Papers from the computer science community to read and discuss.
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,87100,"A collection of various awesome lists for hackers, pentesters and security researchers"
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,78300," Now we have become very big, Different from the original idea. Collect premium software in various categories."
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,72200,A curated awesome list of lists of interview questions. Feel free to contribute! 🎓
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,70300,A list of awesome beginners-friendly projects.
enaqx,awesome-react,https://github.com/enaqx/awesome-react,66200,A collection of awesome things regarding React ecosystem
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,60900,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff."
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,59700,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems"
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,59000,⚡ Delightful Node.js packages and resources
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,58200,📚 List of awesome university courses for learning Computer Science!
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,54200,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more."
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,51100,A curated list of awesome Android UI/UX libraries
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,48900,A list of cool features of Git and GitHub.
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,47800,A curated list of Rust code and resources.
