User,Project,Project URL,Stars,Description
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,67100,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,66000,"21 Lessons, Get Started Building with Generative AI 🔗 https://microsoft.github.io/generative-ai-for-beginners/"
pulumi,pulumi,https://github.com/pulumi/pulumi,22100,Pulumi - Infrastructure as Code in any programming language 🚀
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,20100,"Enhanced ChatGPT Clone: Features Agents, Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project."
getsops,sops,https://github.com/getsops/sops,17300,Simple and flexible tool for managing secrets
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15200,A curated list for awesome kubernetes sources 🚢🎉
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,14100,Azure Quickstart Templates
caprover,caprover,https://github.com/caprover/caprover,13500,Scalable PaaS (automated Docker+nginx) - aka Heroku on Steroids
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,13200,DevOps Roadmap for 2024. with learning resources
infracost,infracost,https://github.com/infracost/infracost,11100,Cloud cost estimates for Terraform in pull requests💰📉 Shift FinOps Left!
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,11000,"Prowler is an Open Cloud Security tool for AWS, Azure, GCP and Kubernetes. It helps for continuos monitoring, security assessments and audits, incident response, compliance, hardening and forensics readiness. Includes CIS, NIST 800, NIST CSF, CISA, FedRAMP, PCI-DSS, GDPR, HIPAA, FFIEC, SOC2, GXP, Well-Architected Security, ENS and more."
budtmo,docker-android,https://github.com/budtmo/docker-android,10100,Android in docker solution with noVNC supported and video recording
google,go-cloud,https://github.com/google/go-cloud,9600,The Go Cloud Development Kit (Go CDK): A library and tools for open cloud development in Go.
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9600,"Best Practices, code samples, and documentation for Computer Vision."
Netflix,metaflow,https://github.com/Netflix/metaflow,8400,Open Source AI/ML Platform
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7600,"Azure Data Studio is a data management and development tool with connectivity to popular cloud and on-premises databases. Azure Data Studio supports Windows, macOS, and Linux, with immediate capability to connect to Azure SQL and SQL Server. Browse the extension library for more database support options including MySQL, PostgreSQL, and MongoDB."
midwayjs,midway,https://github.com/midwayjs/midway,7400,"🍔 A Node.js Serverless Framework for front-end/full-stack developers. Build the application for next decade. Works on AWS, Alibaba Cloud, Tencent Cloud and traditional VM/Container. Super easy integrate with React and Vue. 🌈"
YSGStudyHards,DotNetGuide,https://github.com/YSGStudyHards/DotNetGuide,7400,🌈【C#/.NET/.NET Core学习、工作、面试指南】记录、收集和总结C#/.NET/.NET Core基础知识、学习路线、开发实战、编程技巧练习、学习视频、文章、书籍、项目框架、社区组织、开发必备工具、技术前沿周刊、常见面试题、面试须知、简历模板、人才招聘、以及自己在学习和工作中的一些微薄见解。希望能和大家一起学习，共同进步。如果本知识库能为您提供帮助，别忘了给予支持哦(关注、点赞、分享)💖。
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,7300,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew."
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,7300,🛁 Clean Code concepts and tools adapted for .NET
