User,Project,Project URL,Stars,Description
babel,babel,https://github.com/babel/babel,43300,🐠 Babel is a compiler for writing next generation JavaScript.
swc-project,swc,https://github.com/swc-project/swc,31400,Rust-based platform for the Web
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24800,💌 An extensible desktop mail app built on the modern web. Forks welcome!
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,23400,A Foundation for Scalable Cross-Platform Apps
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15500,"An Electron & Vue.js quick start boilerplate with vue-cli scaffolding, common Vue plugins, electron-packager/electron-builder, unit/e2e testing, vue-devtools, and webpack."
grab,front-end-guide,https://github.com/grab/front-end-guide,15200,📚 Study guide and introduction to the modern front end stack.
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,12100,📘 A guided handbook on how to use Babel and how to create plugins for Babel.
developit,htm,https://github.com/developit/htm,8800,"Hyperscript Tagged Markup: JSX alternative using standard tagged templates, with compiler support."
grommet,grommet,https://github.com/grommet/grommet,8300,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package"
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,8000,"🦹‍♂️ Twin blends the magic of Tailwind with the flexibility of css-in-js (emotion, styled-components, solid-styled-components, stitches and goober) at build time."
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,7800,"⚡A CLI tool for code structural search, lint and rewriting. Written in Rust"
fkling,astexplorer,https://github.com/fkling/astexplorer,6200,A web tool to explore the ASTs generated by various parsers.
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100,Yeoman generator for an Angular app with an Express server
documentationjs,documentation,https://github.com/documentationjs/documentation,5800,📖 documentation for modern JavaScript
thx,gogocode,https://github.com/thx/gogocode,5700,GoGoCode is a transformer for JavaScript/Typescript/HTML based on AST but providing a more intuitive API.
insin,nwb,https://github.com/insin/nwb,5600,"A toolkit for React, Preact, Inferno & vanilla JS apps, React libraries and other npm modules for the web, with no configuration (until you need it)"
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300,"Use full ES2015+ features to develop Node.js applications, Support TypeScript."
egoist,poi,https://github.com/egoist/poi,5200,⚡A zero-config bundler for JavaScript applications.
duxianwei520,react,https://github.com/duxianwei520/react,5100,React+webpack+redux+ant design+axios+less全家桶后台管理框架
babel,babel-loader,https://github.com/babel/babel-loader,4800,📦 Babel loader for webpack
