User,Project,Project URL,Stars,Description
twbs,bootstrap,https://github.com/twbs/bootstrap,171000,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
ColorlibHQ,AdminLTE,https://github.com/ColorlibHQ/AdminLTE,44200,AdminLTE - Free admin dashboard template based on Bootstrap 5
tabler,tabler,https://github.com/tabler/tabler,38300,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap
mdbootstrap,mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,24200,Bootstrap 5 & Material Design UI KIT
react-bootstrap,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,22500,Bootstrap components built with React
ColorlibHQ,gentelella,https://github.com/ColorlibHQ/gentelella,21100,Free Bootstrap 4 Admin Dashboard Template
verekia,js-stack-from-scratch,https://github.com/verekia/js-stack-from-scratch,20100,🛠️⚡ Step-by-step tutorial to build a modern JavaScript stack.
thomaspark,bootswatch,https://github.com/thomaspark/bootswatch,14600,Themes for Bootstrap
bootstrap-vue,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,14500,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and automated WAI-ARIA accessibility markup.
selectize,selectize.js,https://github.com/selectize/selectize.js,13000,"Selectize is the hybrid of a textbox and <select> box. It's jQuery based, and it has autocomplete and native-feeling keyboard navigation; useful for tagging, contact lists, etc."
uxsolutions,bootstrap-datepicker,https://github.com/uxsolutions/bootstrap-datepicker,12700,A datepicker for twitter bootstrap (@twbs)
coreui,coreui-free-bootstrap-admin-template,https://github.com/coreui/coreui-free-bootstrap-admin-template,12000,Free Bootstrap Admin & Dashboard Template
wenzhixin,bootstrap-table,https://github.com/wenzhixin/bootstrap-table,11800,"An extended table to integration with some of the most widely used CSS frameworks. (Supports Bootstrap, Semantic UI, Bulma, Material Design, Foundation, Vue.js)"
Templarian,MaterialDesign,https://github.com/Templarian/MaterialDesign,11100,✒7000+ Material Design Icons from the Community
reactstrap,reactstrap,https://github.com/reactstrap/reactstrap,10600,Simple React Bootstrap 5 components
snapappointments,bootstrap-select,https://github.com/snapappointments/bootstrap-select,9900,"🚀 The jQuery plugin that brings select elements into the 21st century with intuitive multiselection, searching, and much more."
StartBootstrap,startbootstrap-sb-admin-2,https://github.com/StartBootstrap/startbootstrap-sb-admin-2,9800,"A free, open source, Bootstrap admin theme created by Start Bootstrap"
mdbootstrap,material-design-for-bootstrap,https://github.com/mdbootstrap/material-design-for-bootstrap,9300,Important! A new UI Kit version for Bootstrap 5 is available. Access the latest free version via the link below.
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,8200,Angular powered Bootstrap
cotes2020,jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy,7800,"A minimal, responsive, and feature-rich Jekyll theme for technical writing."
