User,Project,Project URL,Stars,Description
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,32500,Linux命令大全搜索工具，内容包含Linux命令手册、详解、学习、搜集。https://git.io/linux
refined-github,refined-github,https://github.com/refined-github/refined-github,25400,Browser extension that simplifies the GitHub interface and adds useful features
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,24000,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用 - Browser extension and cross-platform desktop application for translation based on ChatGPT API.
darkreader,darkreader,https://github.com/darkreader/darkreader,19900,Dark Reader Chrome and Firefox extension
dailydotdev,daily,https://github.com/dailydotdev/daily,18900,"daily.dev is a professional network for developers to learn, collaborate, and grow together 👩🏽‍💻 👨‍💻"
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,16300,Web Extension for saving a faithful copy of a complete web page in a single HTML file
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15100,Chrome extension that records your browser interactions and generates a Playwright or Puppeteer script.
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,14400,"沉浸式双语网页翻译扩展 , 支持输入框翻译， 鼠标悬停翻译， PDF, Epub, 字幕文件, TXT 文件翻译 - Immersive Dual Web Page Translation Extension"
unbug,codelf,https://github.com/unbug/codelf,14100,A search tool helps dev to solve the naming things problem.
AutomaApp,automa,https://github.com/AutomaApp/automa,13400,A browser extension for automating your browser by connecting blocks
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13300,This project is deprecated. Check my new project ChatHub:
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,13100,The free and privacy-friendly screen recorder with no limits 🎥
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12800,Chrome extension to return youtube dislikes
crimx,ext-saladict,https://github.com/crimx/ext-saladict,12200,"🥗 All-in-one professional pop-up dictionary and page translator which supports multiple search modes, page translations, new word notebook and PDF selection searching."
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,11500,"one for all free music in china (chrome extension, also works for firefox)"
PlasmoHQ,plasmo,https://github.com/PlasmoHQ/plasmo,10800,🧩 The Browser Extension Framework
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,10600,Skip YouTube video sponsors (browser extension)
xifangczy,cat-catch,https://github.com/xifangczy/cat-catch,10400,猫抓 浏览器资源嗅探扩展 / cat-catch Browser Resource Sniffing Extension
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,10100,"Integrating ChatGPT into your browser deeply, everything you need is here"
chathub-dev,chathub,https://github.com/chathub-dev/chathub,10100,All-in-one chatbot client
